season,team1,team2,date,match_number,venue,City,State,latitude,longitude,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2023/24,England,New Zealand,05-10-2023,1,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0225,72.5714,New Zealand,field,R Ravindra,HDPK Dharmasena,Nitin Menon,Sharfuddoula,J Srinath,New Zealand,,9,Group
2023/24,Pakistan,Netherlands,06-10-2023,2,Rajiv Gandhi International Stadium,Hyderabad,Telangana,17.385,78.4867,Netherlands,field,Saud Shakeel,AT Holdstock,CM Brown,PR Reiffel,JJ Crowe,Pakistan,81,,Group
2023/24,Afghanistan,Bangladesh,07-10-2023,3,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,32.219,76.3234,Bangladesh,field,Mehedi Hasan Miraz,JS Wilson,HDPK Dharmasena,M Erasmus,AJ Pycroft,Bangladesh,,6,Group
2023/24,South Africa,Sri Lanka,07-10-2023,4,Arun Jaitley Stadium,Delhi,Delhi,28.7041,77.1025,Sri Lanka,field,AK Markram,RK Illingworth,Sharfuddoula,AG Wharf,J Srinath,South Africa,102,,Group
2023/24,Australia,India,08-10-2023,5,MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0827,80.2707,Australia,bat,KL Rahul,CB Gaffaney,RA Kettleborough,AT Holdstock,RB Richardson,India,,6,Group
2023/24,New Zealand,Netherlands,09-10-2023,6,Rajiv Gandhi International Stadium,Hyderabad,Telangana,17.4126,78.4738,Netherlands,field,MJ Santner,PR Reiffel,RJ Tucker,Nitin Menon,AJ Pycroft,New Zealand,99,,Group
2023/24,England,Bangladesh,10-10-2023,7,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,32.2425,76.32,Bangladesh,field,DJ Malan,Ahsan Raza,P Wilson,HDPK Dharmasena,J Srinath,England,137,,Group
2023/24,Sri Lanka,Pakistan,10-10-2023,8,Rajiv Gandhi International Stadium,Hyderabad,Telangana,17.3892,78.4925,Sri Lanka,bat,Mohammad Rizwan,AG Wharf,CB Gaffaney,RJ Tucker,AJ Pycroft,Pakistan,,6,Group
2023/24,Afghanistan,India,11-10-2023,9,Arun Jaitley Stadium,Delhi,Delhi,28.6538,77.2295,Afghanistan,bat,RG Sharma,MA Gough,PR Reiffel,Sharfuddoula,JJ Crowe,India,,8,Group
2023/24,South Africa,Australia,12-10-2023,10,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.8467,80.9462,Australia,field,Q de Kock,JS Wilson,RK Illingworth,CM Brown,J Srinath,South Africa,134,,Group
2023/24,Bangladesh,New Zealand,13-10-2023,11,MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0604,80.2496,New Zealand,field,LH Ferguson,HDPK Dharmasena,Nitin Menon,AG Wharf,RB Richardson,New Zealand,,8,Group
2023/24,Pakistan,India,14-10-2023,12,Narendra Modi Stadium,Ahmedabad,Gujarat,23.015,72.5358,India,field,JJ Bumrah,M Erasmus,RK Illingworth,CB Gaffaney,AJ Pycroft,India,,7,Group
2023/24,Afghanistan,England,15-10-2023,13,Arun Jaitley Stadium,Delhi,Delhi,28.63,77.2177,England,field,Mujeeb Ur Rahman,RJ Tucker,Sharfuddoula,P Wilson,JJ Crowe,Afghanistan,69,,Group
2023/24,Sri Lanka,Australia,16-10-2023,14,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.85,80.9202,Sri Lanka,bat,A Zampa,CB Gaffaney,JS Wilson,,RB Richardson,Australia,,5,Group
2023/24,Netherlands,South Africa,17-10-2023,15,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,32.2322,76.3264,South Africa,field,SA Edwards,MA Gough,RA Kettleborough,Ahsan Raza,JJ Crowe,Netherlands,38,,Group
2023/24,New Zealand,Afghanistan,18-10-2023,16,MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0906,80.2785,Afghanistan,field,GD Phillips,JS Wilson,P Wilson,J Madanagopal,J Srinath,New Zealand,149,,Group
2023/24,Bangladesh,India,19-10-2023,17,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5204,73.8567,Bangladesh,bat,V Kohli,AT Holdstock,RA Kettleborough,M Erasmus,AJ Pycroft,India,,7,Group
2023/24,Australia,Pakistan,20-10-2023,18,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9716,77.5946,Pakistan,field,DA Warner,CM Brown,RK Illingworth,J Madanagopal,RB Richardson,Australia,62,,Group
2023/24,Netherlands,Sri Lanka,21-10-2023,19,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.848,80.9427,Netherlands,bat,S Samarawickrama,Ahsan Raza,M Erasmus,CB Gaffaney,JJ Crowe,Sri Lanka,,5,Group
2023/24,South Africa,England,21-10-2023,20,Wankhede Stadium,Mumbai,Maharashtra,19.076,72.8777,England,field,H Klaasen,HDPK Dharmasena,Nitin Menon,JS Wilson,J Srinath,South Africa,229,,Group
2023/24,New Zealand,India,22-10-2023,21,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,32.2311,76.3208,India,field,Mohammed Shami,AT Holdstock,MA Gough,Praveen Sen,AJ Pycroft,India,,4,Group
2023/24,Pakistan,Afghanistan,23-10-2023,22,MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0689,80.2684,Pakistan,bat,Ibrahim Zadran,PR Reiffel,RJ Tucker,HDPK Dharmasena,RB Richardson,Afghanistan,,8,Group
2023/24,South Africa,Bangladesh,24-10-2023,23,Wankhede Stadium,Mumbai,Maharashtra,19.1147,72.8625,South Africa,bat,Q de Kock,Ahsan Raza,JS Wilson,KN Ananthapadmanabhan,JJ Crowe,South Africa,149,,Group
2023/24,Australia,Netherlands,25-10-2023,24,Arun Jaitley Stadium,Delhi,Delhi,28.6196,77.2106,Australia,bat,GJ Maxwell,MA Gough,Sharfuddoula,Nitin Menon,AJ Pycroft,Australia,309,,Group
2023/24,England,Sri Lanka,26-10-2023,25,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9719,77.6035,England,bat,CBRLS Kumara,AT Holdstock,CM Brown,RJ Tucker,J Srinath,Sri Lanka,,8,Group
2023/24,Pakistan,South Africa,27-10-2023,26,MA Chidambaram Stadium,Chennai,Tamil Nadu,13.0833,80.2488,Pakistan,bat,T Shamsi,AG Wharf,PR Reiffel,RA Kettleborough,RB Richardson,South Africa,,1,Group
2023/24,Australia,New Zealand,28-10-2023,27,Himachal Pradesh Cricket Association Stadium,Dharamsala,Himachal Pradesh,32.2225,76.3144,New Zealand,field,TM Head,M Erasmus,Sharfuddoula,MA Gough,AJ Pycroft,Australia,5,,Group
2023/24,Netherlands,Bangladesh,28-10-2023,28,Eden Gardens,Kolkata,West Bengal,22.5726,88.3639,Netherlands,bat,PA van Meekeren,JS Wilson,P Wilson,CB Gaffaney,JJ Crowe,Netherlands,87,,Group
2023/24,India,England,29-10-2023,29,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.8576,80.937,England,field,RG Sharma,AT Holdstock,RJ Tucker,CM Brown,RB Richardson,India,100,,Group
2023/24,Sri Lanka,Afghanistan,30-10-2023,30,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5289,73.8741,Afghanistan,field,Fazalhaq Farooqi,CB Gaffaney,RK Illingworth,M Erasmus,J Srinath,Afghanistan,,7,Group
2023/24,Bangladesh,Pakistan,31-10-2023,31,Eden Gardens,Kolkata,West Bengal,22.5583,88.3429,Bangladesh,bat,Fakhar Zaman,Nitin Menon,RA Kettleborough,PR Reiffel,AJ Pycroft,Pakistan,,7,Group
2023/24,South Africa,New Zealand,01-11-2023,32,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5167,73.8427,New Zealand,field,HE van der Dussen,Ahsan Raza,HDPK Dharmasena,P Wilson,RB Richardson,South Africa,190,,Group
2023/24,India,Sri Lanka,02-11-2023,33,Wankhede Stadium,Mumbai,Maharashtra,19.1,72.8344,Sri Lanka,field,Mohammed Shami,CM Brown,PR Reiffel,RK Illingworth,JJ Crowe,India,302,,Group
2023/24,Netherlands,Afghanistan,03-11-2023,34,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Uttar Pradesh,26.8612,80.9433,Netherlands,bat,Mohammad Nabi,Nitin Menon,Sharfuddoula,HDPK Dharmasena,J Srinath,Afghanistan,,7,Group
2023/24,New Zealand,Pakistan,04-11-2023,35,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9626,77.5802,Pakistan,field,Fakhar Zaman,P Wilson,RA Kettleborough,JS Wilson,RB Richardson,Pakistan,21,,Group
2023/24,Australia,England,04-11-2023,36,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0011,72.516,England,field,A Zampa,CB Gaffaney,M Erasmus,Ahsan Raza,JJ Crowe,Australia,33,,Group
2023/24,India,South Africa,05-11-2023,37,Eden Gardens,Kolkata,West Bengal,22.5652,88.3538,India,bat,V Kohli,HDPK Dharmasena,PR Reiffel,AG Wharf,AJ Pycroft,India,243,,Group
2023/24,Sri Lanka,Bangladesh,06-11-2023,38,Arun Jaitley Stadium,Delhi,Delhi,28.609,77.2232,Bangladesh,field,Shakib Al Hasan,M Erasmus,RK Illingworth,AT Holdstock,RB Richardson,Bangladesh,,3,Group
2023/24,Afghanistan,Australia,07-11-2023,39,Wankhede Stadium,Mumbai,Maharashtra,19.0896,72.8652,Afghanistan,bat,GJ Maxwell,AG Wharf,MA Gough,Sharfuddoula,JJ Crowe,Australia,,3,Group
2023/24,England,Netherlands,08-11-2023,40,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5214,73.846,England,bat,BA Stokes,Ahsan Raza,RJ Tucker,P Wilson,AJ Pycroft,England,160,,Group
2023/24,Sri Lanka,New Zealand,09-11-2023,41,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9601,77.5893,New Zealand,field,TA Boult,AT Holdstock,JS Wilson,PR Reiffel,J Srinath,New Zealand,,5,Group
2023/24,Afghanistan,South Africa,10-11-2023,42,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0456,72.529,Afghanistan,bat,HE van der Dussen,CM Brown,Nitin Menon,CB Gaffaney,JJ Crowe,South Africa,,5,Group
2023/24,Bangladesh,Australia,11-11-2023,43,Maharashtra Cricket Association Stadium,Pune,Maharashtra,18.5112,73.8556,Australia,field,MR Marsh,Ahsan Raza,M Erasmus,RA Kettleborough,AJ Pycroft,Australia,,8,Group
2023/24,England,Pakistan,11-11-2023,44,Eden Gardens,Kolkata,West Bengal,22.573,88.3488,England,bat,DJ Willey,P Wilson,RJ Tucker,PR Reiffel,J Srinath,England,93,,Group
2023/24,India,Netherlands,12-11-2023,45,M Chinnaswamy Stadium,Bengaluru,Karnataka,12.9611,77.5951,India,bat,SS Iyer,CB Gaffaney,MA Gough,CM Brown,RB Richardson,India,160,,Group
2023/24,India,New Zealand,15-11-2023,46,Wankhede Stadium,Mumbai,Maharashtra,19.099,72.8447,India,bat,Mohammed Shami,RK Illingworth,RJ Tucker,AT Holdstock,AJ Pycroft,India,70,,Semi Final
2023/24,South Africa,Australia,16-11-2023,47,Eden Gardens,Kolkata,West Bengal,22.5753,88.3529,South Africa,bat,TM Head,Nitin Menon,RA Kettleborough,MA Gough,J Srinath,Australia,,3,Semi Final
2023/24,India,Australia,19-11-2023,48,Narendra Modi Stadium,Ahmedabad,Gujarat,23.0508,72.5381,Australia,field,TM Head,RK Illingworth,RA Kettleborough,CB Gaffaney,AJ Pycroft,Australia,,6,Final
